ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361675;Prices that clear the air: Energy use and pollution in Chile and Indonesia;Eskeland, G. S., Jimenez, E., Liu, L. ;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361674;Air pollution requires multipollutant analysis: the case of Santiago, Chile;Eskeland, G. S. ;Manzano, Carlos;"""Yes, include the reference""";"""International organization""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)"", ""Managment, economic, legal, social""";"""Human health"", ""Economic""";"""concentrations""";"""PM - particulate matter""";"""Others not classified""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361673;Satellite Retrievals of Aerosol Optical Depth over a Subtropical Urban Area: The Role of Stratification and Surface Reflectance;Escribano, J., Gallardo, L., Rondanelli, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Climate""";"""concentrations"", ""Computer Modeling"", ""Satellite approach"", ""Chemical composition"", ""Physical measurements of pollutants""";"""Aerosol"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""AC-Anion and cations"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361672;Analyzing the cost effectiveness of Santiago, Chile's policy of using urban forests to improve air quality;Escobedo, F. J., Wagner, J. E., Nowak, D. J.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Economic""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361671;Spatial heterogeneity and air pollution removal by an urban forest;Escobedo, F. J., Nowak, D. J. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7361670;Unusual pathogenic bacterium isolated from microbial communities of bioaerosols at Chilean Patagonian lakes;Escalante, G., LeÃ³n, C. G., Giacomozzi, B.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Biological composition""";"""BIO - Biological (Pollen, virus, bacteriaâ€™s)""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Austral austral""";"""Natural sources """
7361669;Secondhand tobacco smoke in bars and restaurants in Santiago, Chile: evaluation of partial smoking ban legislation in public places;Erazo, M., Iglesias, V., Droppelmann, A.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""concentrations""";"""Other""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Others not classified"""
7361668;Summertime photochemical ozone formation in Santiago, Chile;Elshorbany, Y. F., Kleffmann, J., Kurtenbach, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog"", ""VOCs/SVOCs - Organic Compounds""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361667;ContaminaciÃ³n Urbana por Material Particulado y su Efecto sobre las CaracterÃ­sticas Morfo-AnatÃ³micas de Cuatro Especies ArbÃ³reas de Santiago de Chile;Egas, Claudia, Naulin, Paulette I., PrÃ©ndez, Margarita ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition"", ""Toxicological"", ""concentrations"", ""Others not classified""";"""PM - particulate matter""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361666;Emissions of gaseous mercury from biomass burning in South America in 2005 observed during CARIBIC flights;Ebinghaus, R., Slemr, F., Brenninkmeijer, C. A. M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Others not classified""";"""concentrations"", ""Meteorological measurements""";"""HM - heavy metals"", ""VOCs/SVOCs - Organic Compounds"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon"", ""O3 ozone - photochemical smog"", ""PM - particulate matter"", ""GHGs - greenhouse gases""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""Central zone""";"""Wildfires"""
7361665;Above ground biomass and leaf area models based on a non destructive method for urban trees of two communes in Central Chile;Dobbs, Cynnamon, HernÃ¡ndez, Jaime, Escobedo, Francisco ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Not applicable""";"""NA - Not applicable""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361664;Urban aerosol particles of Santiago, Chile: Organic content and molecular characterization;Didyk, B. M., Simoneit, B. R. T., Alvaro Pezoa, L.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Private sector""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Chemical composition""";"""VOCs/SVOCs - Organic Compounds"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos "", ""PM - particulate matter"", ""C  - TC/EC/OC/BC - Carbon compounds""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions "", ""Natural sources "", ""Traffic "", ""Agriculture """
7361663;A hybrid ARIMA and artificial neural networks model to forecast particulate matter in urban areas: The case of Temuco, Chile;DÃ­az-Robles, L. A., Ortega, J. C., Fu, J. S.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""concentrations"", ""Computer Modeling"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Industrial and commercial emissions "", ""Domestic heating / wood burning"""
