ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361905;Rapid determination of inorganic elements in airborne particulate matter by using acidified subcritical-water extraction and inductively-coupled plasma-optical-emission spectrometry;Morales-Riffo, J. J., Richter, P. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""HM - heavy metals"", ""PM - particulate matter""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""Central zone"", ""Little North""";"""Mining"", ""Industrial and commercial emissions "", ""Traffic """
7361904;The effect of â€œmoss bagâ€ shape in the air monitoring of metal(oid)s in semi-arid sites: Influence of wind speed and moss porosity;Morales-Casa, V., Rebolledo, J., Ginocchio, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Technological development"", ""Laboratory"", ""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Meteorological measurements"", ""Chemical composition"", ""Computer Modeling""";"""HM - heavy metals""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Traffic "", ""Industrial and commercial emissions """
7361903;Sedimentation rate of settleable particulate matter in Santiago city, Chile;Morales-Casa, V., Barraza, F., Collante, E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health"", ""Ecological  (animal, plants)""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7361902;Landfill fire and airborne aerosols in a large city: lessons learned and future needs;Morales, R. G. E., Toro A., R., Morales, L.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Wildfires"""
7361901;A semi-empirical method of PM-10 atmospheric pollution forecast at Santiago de Chile city;Morales, R. G. E., Llanos, A., Merino, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361900;Annual evolution of fine particulate matter in Santiago-Chile and maximum pressure location;Morales, L., Vignolo, J., Pacheco, P. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Compliance assessment""";"""Ambient (eg outdoor)""";"""Climate""";"""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361899;Major components of aerosols emitted by the Lonquimay volcano, Chile;Morales, J. R., Dinator, M. I., Llona, F.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Chemical composition""";"""PM - particulate matter"", ""Aerosol""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Natural sources """
7361898;Too polluted to work? The gendered correlates of air pollution on hours worked;Montt, G. ;Toro, Richard;"""Yes, include the reference""";"""International organization""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social"", ""Indoor (eg indoor, work environments)""";"""Human health"", ""Others not classified"", ""Regulatory and Legal"", ""Social and Cultural""";"""concentrations"", ""Others not classified""";"""COx - Oxides of Carbon"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""SOx - Oxides of Sulphur"", ""O3 ozone - photochemical smog"", ""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Not applicable"""
7361897;Simple air quality model for a plane source;Montecinos, S. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Computer Modeling""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7361896;Development of a detailed microphysics cirrus model tracking aerosol particles' histories for interpretation of the recent INCA campaign;Monier, M., Wobrock, W., Gayet, J. F.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Information of the public""";"""Ambient (eg outdoor)""";"""Climate""";"""Physical measurements of pollutants"", ""Computer Modeling"", ""concentrations""";"""Other"", ""Aerosol"", ""PM - particulate matter""";"""Month - to 3 months""";"""Global""";"""International comparisons""";"""Austral austral""";"""Natural sources """
7361895;Thermal comfort assessment for 10 public buildings in chile during the winter season;Molina, C., Veas, L. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""Others not classified""";"""NA - Not applicable""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361894;Particulate matter in urban areas of south-central Chile exceeds air quality standards;Molina, C., Toro A., R., Morales, R. G. E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""Austral austral"", ""South zone""";"""Domestic heating / wood burning"""
7361893;A data analysis of the Chilean housing stock and the development of modelling archetypes;Molina, C., Kent, M., Hall, I.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)"", ""Indoor (eg indoor, work environments)"", ""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Built environment and materials (buildings, constructions, polymers, etc)""";"""concentrations"", ""Meteorological measurements""";"""PM - particulate matter"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"""
7361892;CHAARM: A model to predict uncertainties in indoor pollutant concentrations, ventilation and infiltration rates, and associated energy demand in Chilean houses;Molina, C., Jones, B., Hall, I. P.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Laboratory study""";"""Indoor (eg indoor, work environments)"", ""Managment, economic, legal, social""";"""Human health"", ""Regulatory and Legal"", ""Social and Cultural""";"""Computer Modeling"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"""
7361891;Dithiothreitol-based oxidative potential for airborne particulate matter: an estimation of the associated uncertainty;Molina, C., Andrade, C., Manzano, C. A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)"", ""Laboratory""";"""Human health""";"""Toxicological"", ""concentrations""";"""PM - particulate matter"", ""OP - Oxidative potential""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361890;A dynamic multiple equation approach for forecasting PM2.5 pollution in Santiago, Chile;Moisan, S., Herrera, R., Clements, A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Industrial and commercial emissions "", ""Domestic heating / wood burning"", ""Agriculture """
7361889;Trace element contents in fine particulate matter (PM2.5) in urban school microenvironments near a contaminated beach with mine tailings, ChaÃ±aral, Chile;MesÃ­as Monsalve, S., MartÃ­nez, L., Yohannessen VÃ¡squez, K.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Information of the public""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""Chemical composition""";"""PM - particulate matter"", ""HM - heavy metals""";"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Little North""";"""Mining"""
7361888;Valuation of Air Quality in Chile: The Life Satisfaction Approach;Mendoza, Y., Loyola, R., Aguilar, A.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Exposure assessment""";"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Social and Cultural"", ""Regulatory and Legal"", ""Human health""";"""concentrations"", ""Others not classified""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Austral austral"", ""Central zone"", ""South zone"", ""Great North"", ""Little North""";"""Not applicable"""
7361887;Increasing trends (2001â€“2018) in photochemical activity and secondary aerosols in Santiago, Chile;Menares, C., Gallardo, L., Kanakidou, M.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Ecological  (animal, plants)"", ""Human health""";"""concentrations"", ""Physical measurements of pollutants""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""Aerosol""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Traffic "", ""Domestic heating / wood burning"""
7361886;Gas and aerosol emissions from Lascar volcano (Northern Chile): Insights into the origin of gases and their links with the volcanic activity;Menard, G., Moune, S., Vlastelic, I.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Regional""";"""Only national""";"""Great North""";"""Natural sources """
7361885;Regional climate feedbacks in Central Chile and their effect on air quality episodes and meteorology;Mena-Carrasco, M., Saide, P., Delgado, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Information of the public"", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal"", ""Climate""";"""Meteorological measurements"", ""Computer Modeling"", ""concentrations""";"""AC-Anion and cations"", ""COx - Oxides of Carbon"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone"", ""National level(not insular or antarctic)""";"""Power generation"", ""Industrial and commercial emissions "", ""Traffic "", ""Domestic heating / wood burning"""
7361884;Estimating the health benefits from natural gas use in transport and heating in Santiago, Chile;Mena-Carrasco, M., Oliva, E., Saide, P.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Air Pollutant Receptor Modeling"", ""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling""";"""PM - particulate matter"", ""VOCs/SVOCs - Organic Compounds"", ""COx - Oxides of Carbon"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Power generation"""
7361883;Integrating Qualitative and Quantitative Methods in Participatory Modeling to Elicit Behavioral Drivers in Environmental Dilemmas: the Case of Air Pollution in Talca, Chile;Meinherz, F., Videira, N. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Other unclassified""";"""Managment, economic, legal, social""";"""Regulatory and Legal""";"""Others not classified"", ""Computer Modeling""";"""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"""
7361882;International study of temperature, heat and urban mortality: The 'ISOTHURM' project;McMichael, A. J., Wilkinson, P., Kovats, R. S.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Information of the public""";"""Ambient (eg outdoor)""";"""Climate"", ""Human health""";"""concentrations"", ""Epidemiological"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Central zone""";"""Not applicable"""
7361881;An operational method for forecasting total column ozone for Punta Arenas, Chile;McMahon, R. M., Aguilar, R., Valderrama, V.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment"", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""Computer Modeling""";"""O3 ozone - photochemical smog""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7361880;Impact of residential combustion and transport emissions on air pollution in Santiago during winter;Mazzeo, A., Huneeus, N., OrdoÃ±ez, C.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Compliance assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Computer Modeling""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic """
7361879;Impact of particulate matter (PM2.5) and childrenâ€™s hospitalizations for respiratory diseases. a case cross-over study;Matus C, P., OyarzÃºn G, M. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter"", ""O3 ozone - photochemical smog""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361878;Ammonia volatilization following dairy slurry application to a permanent grassland on a volcanic soil;MartÃ­nez-Lagos, J., Salazar, F., Alfaro, M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Ecological  (animal, plants)""";"""concentrations"", ""Meteorological measurements""";"""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""South zone""";"""Agriculture """
7361877;IntegraciÃ³n de criterios de desempeÃ±os en el mejoramiento energÃ©tico-ambiental de viviendas sociales existentes en Chile;MartÃ­nez, Paulina Wegertseder, Kelly, Maureen Trebilcock ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Managment, economic, legal, social""";"""Built environment and materials (buildings, constructions, polymers, etc)"", ""Economic""";"""Others not classified""";"""NA - Not applicable""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"", ""Others not classified"""
7361876;Indoor and personal carbon monoxide exposure risk assessment in sample of apartment buildings in Santiago, Chile;MartÃ­nez, P. A., Caba, F. M., Alvarado, S. A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Indoor (eg indoor, work environments)"", ""Managment, economic, legal, social""";"""Human health""";"""concentrations"", ""Others not classified""";"""COx - Oxides of Carbon""";"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Others not classified"""
7361875;Indoor-outdoor concentrations of fine particulate matter in school building microenvironments near a mine tailing deposit;Martinez, L., Monsalve, S. M., Vasquez, K. Y.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Ambient (eg outdoor)"", ""Indoor (eg indoor, work environments)""";"""Human health"", ""Regulatory and Legal""";"""concentrations"", ""Meteorological measurements""";"""PM - particulate matter""";"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Little North""";"""Mining"""
7361874;Volcanic ash modeling with the NMMB-MONARCH-ASH model: Quantification of offline modeling errors;Marti, A., Folch, A. ;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Other unclassified"", ""Compliance assessment""";"""Laboratory""";"""Others not classified""";"""concentrations"", ""Meteorological measurements"", ""Physical measurements of pollutants"", ""Computer Modeling""";"""Other""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""South zone""";"""Natural sources """
7361873;Properties of particulate pollution in the port city of Valparaiso, Chile;MarÃ­n, J. C., Raga, G. B., ArÃ©valo, J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Private sector"", ""Academia (university, institute, others)""";"""Compliance assessment"", ""management tool""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Physical measurements of pollutants"", ""Meteorological measurements"", ""concentrations"", ""Chemical composition""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos "", ""C  - TC/EC/OC/BC - Carbon compounds"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Power generation"", ""Domestic heating / wood burning"", ""Traffic """
7361872;Oxygenated polycyclic aromatic hydrocarbons in urban air particulate matter;MarÃ­a Del Rosario Sienra, M. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment"", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Chemical composition""";"""PM - particulate matter"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos "", ""QUI-Quinones""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Domestic heating / wood burning"""
7361871;Emission factors of biogenic volatile organic compounds in various stages of growth present in the urban forest of the Metropolitan Region, Chile;Margarita, P., Karina, C., Johanna, M. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Laboratory""";"""Regulatory and Legal""";"""concentrations""";"""VOCs/SVOCs - Organic Compounds""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Natural sources """
7361870;First annual register of allergenic pollen in Talca, Chile;Mardones, P., Grau, M., Araya, J.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Chilean organizations"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Biological composition"", ""concentrations""";"""BIO - Biological (Pollen, virus, bacteriaâ€™s)""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Natural sources """
7361869;Tradable permit system for PM2.5 emissions from residential and industrial sources;Mardones, C., Sanhueza, L. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Economic""";"""Computer Modeling"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions """
7361868;CuantificaciÃ³n econÃ³mica de los beneficios en salud asociados a la reducciÃ³n de la contaminaciÃ³n por MP10 en ConcepciÃ³n Metropolitano, Chile;Mardones, Cristian, Saavedra, AndrÃ©s, JimÃ©nez, Jorge ;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361867;Health and economic benefits of reducing 10 mu m particulate matter (PM10) in Metropolitan Area of Concepcion, Chile;Mardones, C., Saavedra, A., Jimenez, J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Screening emerging air pollutants""";"""Ambient (eg outdoor)"", ""Managment, economic, legal, social""";"""Economic"", ""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7361866;Effects of the internalization of the social cost of global and local air pollutants in Chile;Mardones, C., Mena, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Economic""";"""concentrations""";"""SOx - Oxides of Sulphur"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Industrial and commercial emissions "", ""Power generation"", ""Traffic "", ""Domestic heating / wood burning"""
7361865;Economic, environmental and distributive analysis of the taxes to global and local air pollutants in Chile;Mardones, C., Mena, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Modeling air pollution""";"""Ambient (eg outdoor)"", ""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Economic""";"""concentrations""";"""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""Other"", ""COx - Oxides of Carbon""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Natural sources "", ""Power generation"", ""Industrial and commercial emissions """
7361864;Cost-effective reduction of industrial emissions in the Metropolitan Concepcion, Chile: Natural gas vs end-of-pipes technologies;Mardones, C., JimÃ©nez, J., AlegrÃ­a, M. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Economic"", ""Regulatory and Legal""";"""Others not classified"", ""concentrations""";"""Other"", ""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Power generation"""
7361863;Alternatives for Reducing Fine Particulate Matter from Industrial Activities in ConcepciÃ³n Metropolitan Area, Chile;Mardones, C., Jimenez, J. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions """
7361862;Correction of Chilean GDP for natural capital depreciation and environmental degradation caused by copper mining;Mardones, C., del Rio, R. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Managment, economic, legal, social""";"""Economic""";"""Others not classified""";"""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur"", ""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Mining"""
7361861;Ex-post evaluation of environmental decontamination plans on air quality in Chilean cities;Mardones, C., Cornejo, N. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""Central zone"", ""Austral austral"", ""South zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7361860;Ex - post evaluation of a program to reduce critical episodes due to air pollution in southern Chile;Mardones, C., Cornejo, N. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7361859;Effectiveness of local air pollution and GHG taxes: The case of Chilean industrial sources;Mardones, C., Cabello, M. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Managment, economic, legal, social""";"""Economic"", ""Regulatory and Legal""";"""Others not classified""";"""SOx - Oxides of Sulphur"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Industrial and commercial emissions """
7361858;Short-and long-term ex post evaluation of community-based environmental initiatives in Chile;Mardones, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Managment, economic, legal, social""";"""Social and Cultural"", ""Regulatory and Legal""";"""Others not classified""";"""NA - Not applicable""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361857;Impacto de la percepciÃ³n de la calidad del aire sobre el precio de las viviendas en ConcepciÃ³n-Talcahuano, Chile;Mardones, C. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Economic""";"""Others not classified""";"""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7361856;Robust multivariate control charts based on Birnbaumâ€“Saunders distributions;Marchant, C., Leiva, V., Cysneiros, F. J. A.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""Computer Modeling""";"""NA - Not applicable""";"""Not applicable""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361855;Monitoring urban environmental pollution by bivariate control charts: New methodology and case study in Santiago, Chile;Marchant, C., Leiva, V., Christakos, G.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""concentrations""";"""PM - particulate matter""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361854;Air contaminant statistical distributions with application to PM10 in Santiago, Chile;Marchant, C., Leiva, V., Cavieres, M. F.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
